date,Date,pm25_sea_ma
24-01-2018 17:00,24-01-2018,178.8
24-01-2018 18:00,24-01-2018,198.1
24-01-2018 19:00,24-01-2018,237.3
24-01-2018 20:00,24-01-2018,277.8
24-01-2018 21:00,24-01-2018,314.3
24-01-2018 22:00,24-01-2018,335.3
24-01-2018 23:00,24-01-2018,361.3
25-01-2018 00:00,25-01-2018,357.1
25-01-2018 01:00,25-01-2018,347.9
25-01-2018 02:00,25-01-2018,353.6
25-01-2018 03:00,25-01-2018,347.2
25-01-2018 04:00,25-01-2018,326.2
25-01-2018 05:00,25-01-2018,296.3
25-01-2018 06:00,25-01-2018,297
25-01-2018 07:00,25-01-2018,320.9
25-01-2018 08:00,25-01-2018,277.2
25-01-2018 09:00,25-01-2018,267.1
25-01-2018 10:00,25-01-2018,258
25-01-2018 11:00,25-01-2018,216.8571429
25-01-2018 12:00,25-01-2018,291.1428571
25-01-2018 13:00,25-01-2018,276.1
25-01-2018 14:00,25-01-2018,273.1
25-01-2018 15:00,25-01-2018,242.4
25-01-2018 16:00,25-01-2018,239.3
25-01-2018 17:00,25-01-2018,157
25-01-2018 18:00,25-01-2018,181.5
25-01-2018 19:00,25-01-2018,244.7
25-01-2018 20:00,25-01-2018,282.8
25-01-2018 21:00,25-01-2018,312.2
25-01-2018 22:00,25-01-2018,333.9
25-01-2018 23:00,25-01-2018,381.1
26-01-2018 00:00,26-01-2018,374
26-01-2018 01:00,26-01-2018,372
26-01-2018 02:00,26-01-2018,383.1111111
26-01-2018 03:00,26-01-2018,368.2222222
26-01-2018 04:00,26-01-2018,332.1
26-01-2018 05:00,26-01-2018,275
26-01-2018 06:00,26-01-2018,269.3
26-01-2018 07:00,26-01-2018,298.7
26-01-2018 08:00,26-01-2018,221.1
26-01-2018 09:00,26-01-2018,186.1
26-01-2018 10:00,26-01-2018,167
26-01-2018 11:00,26-01-2018,179.7222222
26-01-2018 12:00,26-01-2018,296.4444444
26-01-2018 13:00,26-01-2018,299.8125
26-01-2018 14:00,26-01-2018,293.25
26-01-2018 15:00,26-01-2018,274.3125
26-01-2018 16:00,26-01-2018,247.4375
26-01-2018 17:00,26-01-2018,137.125
26-01-2018 18:00,26-01-2018,165.0625
26-01-2018 19:00,26-01-2018,242.875
26-01-2018 20:00,26-01-2018,281.5
26-01-2018 21:00,26-01-2018,304.625
26-01-2018 22:00,26-01-2018,320.875
26-01-2018 23:00,26-01-2018,378.25
27-01-2018 00:00,27-01-2018,373.0625
27-01-2018 01:00,27-01-2018,378.25
27-01-2018 02:00,27-01-2018,398.4285714
27-01-2018 03:00,27-01-2018,380.4285714
27-01-2018 04:00,27-01-2018,335.3125
27-01-2018 05:00,27-01-2018,264.125
27-01-2018 06:00,27-01-2018,254.625
27-01-2018 07:00,27-01-2018,283.875
27-01-2018 08:00,27-01-2018,189.0625
27-01-2018 09:00,27-01-2018,140.6875
27-01-2018 10:00,27-01-2018,123.3125
27-01-2018 11:00,27-01-2018,186
27-01-2018 12:00,27-01-2018,344
27-01-2018 13:00,27-01-2018,350
27-01-2018 14:00,27-01-2018,362
27-01-2018 15:00,27-01-2018,380
27-01-2018 16:00,27-01-2018,322
27-01-2018 17:00,27-01-2018,169
27-01-2018 18:00,27-01-2018,225
27-01-2018 19:00,27-01-2018,320
27-01-2018 20:00,27-01-2018,308
27-01-2018 21:00,27-01-2018,301
27-01-2018 22:00,27-01-2018,322
27-01-2018 23:00,27-01-2018,403
28-01-2018 00:00,28-01-2018,395
28-01-2018 01:00,28-01-2018,419
28-01-2018 02:00,28-01-2018,432
28-01-2018 03:00,28-01-2018,406
28-01-2018 04:00,28-01-2018,326
28-01-2018 05:00,28-01-2018,173
28-01-2018 06:00,28-01-2018,147
28-01-2018 07:00,28-01-2018,192
28-01-2018 08:00,28-01-2018,100
28-01-2018 09:00,28-01-2018,77
28-01-2018 10:00,28-01-2018,91
28-01-2018 11:00,28-01-2018,168
28-01-2018 12:00,28-01-2018,309
28-01-2018 13:00,28-01-2018,326
28-01-2018 14:00,28-01-2018,310
28-01-2018 15:00,28-01-2018,223
28-01-2018 16:00,28-01-2018,196
28-01-2018 17:00,28-01-2018,89
28-01-2018 18:00,28-01-2018,82
28-01-2018 19:00,28-01-2018,193
28-01-2018 20:00,28-01-2018,301
28-01-2018 21:00,28-01-2018,328
28-01-2018 22:00,28-01-2018,365
28-01-2018 23:00,28-01-2018,406
29-01-2018 00:00,29-01-2018,405
29-01-2018 01:00,29-01-2018,386
29-01-2018 02:00,29-01-2018,381
29-01-2018 03:00,29-01-2018,357
29-01-2018 04:00,29-01-2018,346
29-01-2018 05:00,29-01-2018,379
29-01-2018 06:00,29-01-2018,373
29-01-2018 07:00,29-01-2018,394
29-01-2018 08:00,29-01-2018,222
29-01-2018 09:00,29-01-2018,99
29-01-2018 10:00,29-01-2018,83
29-01-2018 11:00,29-01-2018,113
29-01-2018 12:00,29-01-2018,223
